business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Dhronas,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Career guidance service, Civil examinations academy, Education center, Educational consultant, Educational institution, Learning center, Studying center, Training center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 84369 00456,https://www.thedhronas.com/,4.8,394.0,"Hathi More, Ward 18, Subhas Pally, Siliguri, West Bengal 734001","Ward 18, Subhas Pally",26.708728599999997,88.433983,ChIJs7aDyxVB5DkR_91AJlkukXc,https://www.google.com/maps/place/?q=place_id:ChIJs7aDyxVB5DkR_91AJlkukXc,part_328,2026-09-20 20:17:38
Mahendra's,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Educational institution, Educational testing service, Training center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90058 50420,https://branch.mahendras.org/siliguri-37893/home?utm_source=GBP,4.4,426.0,"3rd Floor, Sanat Trade Centre, Sevoke Rd, above Bank Of Maharashtra, Ward 13, Punjabi Para, Siliguri, West Bengal 734001","Ward 13, Punjabi Para",26.7242116,88.4288189,ChIJAYM8lhFB5DkRSZLPohuEThg,https://www.google.com/maps/place/?q=place_id:ChIJAYM8lhFB5DkRSZLPohuEThg,part_328,2026-09-20 20:17:38
Bibaswan Educational Foundation,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Educational institution, Private Tutor",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96415 92339,https://www.bibaswaneducationalfoundation.com/,4.9,264.0,"37, Nandalal Basu Sarani, College Para, Hakim Para, Siliguri, West Bengal 734001","College Para, Hakim Para",26.711354099999998,88.4316001,ChIJQ4jXZ8dB5DkRn34Pe86Jup0,https://www.google.com/maps/place/?q=place_id:ChIJQ4jXZ8dB5DkRn34Pe86Jup0,part_328,2026-09-20 20:17:38
Avision Institute,Competitive Exam Coaching (UPSC/Banking),Banking entrance coaching centre,Banking entrance coaching centre,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 76025 55048,https://avision.co.in/center-details/best-bank-ssc-wbcs-online-coaching-in-siliguri,4.8,113.0,"Sarker Mention Building, Opp Panchayat Office Panchayat Road, Shivmandir, Kadamtala, Siliguri, West Bengal 734001",Punjabi Para,26.7254206,88.43392659999999,ChIJ8c5L_35B5DkRVPWrBpYbBEQ,https://www.google.com/maps/place/?q=place_id:ChIJ8c5L_35B5DkRVPWrBpYbBEQ,part_328,2026-09-20 20:17:38
RICE Education Siliguri,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Educational institution, Education center, Test preparation center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 84799 17963,https://riceeducation.in/,3.8,252.0,"By Lane, 5, 2, Baghajatin Rd, opposite of Siliguri College Road, Siliguri, West Bengal 734001","Ward 17, Old Matigara",26.7091304,88.4330062,ChIJG-Sup3FB5DkRHuE303a6B1E,https://www.google.com/maps/place/?q=place_id:ChIJG-Sup3FB5DkRHuE303a6B1E,part_328,2026-09-20 20:17:38
Amit Sir Classes,Competitive Exam Coaching (UPSC/Banking),Education center,Education center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97759 08000,N/A,4.8,5.0,"Ashutosh Mukherjee Rd, Ward 17, Old Matigara, Siliguri, West Bengal 734001","Ward 17, Old Matigara",26.7091462,88.43297539999999,ChIJPeZ7qvhB5DkRv5yTQoxcXYs,https://www.google.com/maps/place/?q=place_id:ChIJPeZ7qvhB5DkRv5yTQoxcXYs,part_328,2026-09-20 20:17:38
IBT SILIGURI,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 94761 11170,https://www.ibtindia.com/siliguri,4.7,196.0,"State Bank of India, 3 and 4 floor, IBT Building, Ward No. 15, Hakim Para, Siliguri, West Bengal 734001","Ward 15, Hakim Para",26.7175676,88.4297151,ChIJqX5PsxJB5DkRZMnpb-rOvWU,https://www.google.com/maps/place/?q=place_id:ChIJqX5PsxJB5DkRZMnpb-rOvWU,part_328,2026-09-20 20:17:38
Study Xpress -SSC COACHING IN SILIGURI -NDA & CDS Coaching,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Education center, Educational institution",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 81006 46763,https://www.studyxpress.in/,4.9,185.0,"Gate No 2, 5, Baghajatin Road By Lane Gate No. - 2 Ward 17, opp. of Siliguri College Road, College Para, Siliguri, West Bengal 734001","College Para, Old Matigara",26.7095666,88.4330038,ChIJBY-LyZxB5DkRNM1LEEckYJk,https://www.google.com/maps/place/?q=place_id:ChIJBY-LyZxB5DkRNM1LEEckYJk,part_328,2026-09-20 20:17:38
Ayushman Vidhya Mandir,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Educational institution, Studying center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 82509 17807,N/A,4.8,52.0,"Medical More, PO - Sushrutanagar, Medical Rd, Kawakhari, Siliguri, West Bengal 734012",734003,26.692411699999997,88.3713746,ChIJdfL-F7xH5DkRlxqzQO5fna8,https://www.google.com/maps/place/?q=place_id:ChIJdfL-F7xH5DkRlxqzQO5fna8,part_328,2026-09-20 20:17:38
"Reliable Academy - Best No#1 UPSC, MPSC, SSC, Banking, RBI, SBI, IBPS, Railway - NTPC Coaching Classes in Thane",Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Career guidance service, Civil examinations academy, Education center, Educational consultant, Educational institution, Test preparation center, Training center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 92223 33999,https://reliableacademy.com/,4.8,1045.0,"1st Floor, Thakur Niwas CHS, West, Gopal Krishna Gokhale Marg, above Tip Top Sweets, opp. Thane Station Road, Jambli Naka, Thane West, Thane, Maharashtra 400602","Jambli Naka, Thane West",19.1878515,72.9763905,ChIJTdehys655zsRYqBwQ4EzyQ8,https://www.google.com/maps/place/?q=place_id:ChIJTdehys655zsRYqBwQ4EzyQ8,part_328,2026-09-20 20:17:38
Dhronas Siliguri - Best CAT & CLAT Coaching in siliguri,Competitive Exam Coaching (UPSC/Banking),Educational institution,Educational institution,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,1.0,"SBI ATM, near Hathi more, College Para, Hakim Para, Siliguri, West Bengal 734001","College Para, Hakim Para",26.7137624,88.4313014,ChIJlfxLAbJB5DkRFjxYC1uwAao,https://www.google.com/maps/place/?q=place_id:ChIJlfxLAbJB5DkRFjxYC1uwAao,part_328,2026-09-20 20:17:38
"Reliable Academy: Best UPSC, MPSC, SSC, Banking, RBI ,SBI, IBPS ,NDA, CDS, Railway, Coaching Classes in Kalyan",Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Career guidance service, Civil examinations academy, Education center, Educational institution, Student career counseling office",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 92223 33999,https://reliableacademy.com/,4.7,1181.0,"3rd Floor, Lok Udyan, near Kalyan Station Road, above Federal Bank West, Bhanu Sagar Talkies, Bhanunagar Kalyan(West), Kalyan West, Kalyan, Maharashtra 421301","Bhanu Sagar Talkies, Bhanunagar Kalyan(West), Kalyan West",19.2358977,73.1295667,ChIJ5V6apYGT5zsRnB6jbhekfIU,https://www.google.com/maps/place/?q=place_id:ChIJ5V6apYGT5zsRnB6jbhekfIU,part_328,2026-09-20 20:17:38
