business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Home health care,Medical Equipment Supplier,Oxygen equipment supplier,Oxygen equipment supplier,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",N/A,N/A,,,"4, Netaji Subash Rd, Ward 35, Dabgram, Siliguri, West Bengal 734007","Ward 35, Dabgram",26.6920994,88.4375797,ChIJtdFyHwBD5DkRtRskDyMK7xg,https://www.google.com/maps/place/?q=place_id:ChIJtdFyHwBD5DkRtRskDyMK7xg,part_328,2026-09-20 20:20:01
Biraj Medicare,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",N/A,N/A,,,"Sukanta Nagar, Rabindra Sarani, Siliguri, West Bengal 734006","Sukanta Nagar, Rabindra Sarani",26.7156788,88.4430369,ChIJJSmsRKtB5DkRpu5Yhz22-Ew,https://www.google.com/maps/place/?q=place_id:ChIJJSmsRKtB5DkRpu5Yhz22-Ew,part_328,2026-09-20 20:20:01
Sona Oxygen Pvt Ltd.,Medical Equipment Supplier,Gas shop,"Gas shop, Gas Agency, Gas cylinders supplier, Industrial gas supplier",734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 96359 67780,N/A,4.6,17.0,"plot no 37, fulbari dabgram industrial estate, Satellite Township, Fulbari, West Bengal 734015","Satellite Township, Kamrangaguri",26.6710629,88.42359809999999,ChIJPVprb5FD5DkRuIgx1U5uJYA,https://www.google.com/maps/place/?q=place_id:ChIJPVprb5FD5DkRuIgx1U5uJYA,part_328,2026-09-20 20:20:01
MedPlus D B C Road,Medical Equipment Supplier,Pharmacy,"Pharmacy, General store, Medical supply store, Sports nutrition store, Vitamin & supplements store",734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 91477 58720,https://www.medplusmart.com/,3.3,3.0,"Ground Floor, near Indoor Stadium, Ward 28, Subhas Pally, Siliguri, West Bengal 734004","Ward 28, Subhas Pally",26.700809699999997,88.4362149,ChIJkVJQNBhB5DkR-Oulle9PvlI,https://www.google.com/maps/place/?q=place_id:ChIJkVJQNBhB5DkR-Oulle9PvlI,part_328,2026-09-20 20:20:01
Kitsco Healthcare pvt ltd,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Surgical Products Wholesaler",734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 98835 89096,https://kitscohealthcarepvtltd.com/,4.9,82.0,"A Block, 301, Rajkrishna Chatterjee Rd, New Ballygunge, Kasba, Kolkata, West Bengal 700042","New Ballygunge, Kasba",22.5202047,88.3788673,ChIJE5F_nNN3AjoRbya93BylMek,https://www.google.com/maps/place/?q=place_id:ChIJE5F_nNN3AjoRbya93BylMek,part_328,2026-09-20 20:20:01
B. S. Medical International,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Emergency care service, Hospital equipment and supplies, Machine maintenance service, Manufacturer",734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 83359 62809,http://www.bsmedicalinternational.com/,5.0,4.0,"21 4, Central Park E, Ramkrishna Upanibesh, Jadavpur, Kolkata, West Bengal 700032","Ramkrishna Upanibesh, Jadavpur",22.4884512,88.3755839,ChIJm29F5BZxAjoRf9d9iCzx2fQ,https://www.google.com/maps/place/?q=place_id:ChIJm29F5BZxAjoRf9d9iCzx2fQ,part_328,2026-09-20 20:20:01
AVAN MediBazar-Retail & Wholesale Surgical and OTC Medicine Shop and Supplier,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Surgical Products Wholesaler, Physiotherapist, Physiotherapy equipment supplier, Surgical supply store, Wholesale drugstore, Wholesaler",734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 87773 78840,https://www.avanmedibazar.com/,5.0,2.0,"Subway, S/12, 200 Dr Kumud Sanakr Roy Road, Jadavpur Station Rd, Jadavpur, Kolkata, West Bengal 700032",Jadavpur,22.4966232,88.373503,ChIJR-d95ilxAjoRdiu2pO3MpHs,https://www.google.com/maps/place/?q=place_id:ChIJR-d95ilxAjoRdiu2pO3MpHs,part_328,2026-09-20 20:20:01
Meditech Systems (India),Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Hospital equipment and supplies, Medical Equipment Manufacturer",734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 98360 96417,http://www.medivion.co.in/,5.0,7.0,"265, Roy Bahadur Rd, Beside Chanditala, Chattra Sangha, Buroshibtalla, Behala, Kolkata, West Bengal 700053","Chattra Sangha, Buroshibtalla, Behala",22.500092799999997,88.3337111,ChIJN-wV5Qh6AjoRcmgyRFspEMs,https://www.google.com/maps/place/?q=place_id:ChIJN-wV5Qh6AjoRcmgyRFspEMs,part_328,2026-09-20 20:20:01
Aarogya Surgicals - Surgical Supply Shop,Medical Equipment Supplier,Surgical Products Wholesaler,Surgical Products Wholesaler,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 89458 01854,N/A,,,"Ground Floor, Ladha Kunj, near Paramount Hospital, Jajodia Market, Khalpara, Siliguri, West Bengal P.O-734005","Jajodia Market, Khalpara",26.7040717,88.4180842,ChIJ87HSMwBB5DkRvc9P9Jns6-c,https://www.google.com/maps/place/?q=place_id:ChIJ87HSMwBB5DkRvc9P9Jns6-c,part_328,2026-09-20 20:20:02
AORTIC HEALTHCARE,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling",+91 98831 93591,N/A,,,"Ward No. - 15, 38, Jibanananda Das Sarani, Rabindra Nagar P.O, 21, P.S, Rabindra Sarani, Siliguri, West Bengal 734006","Ward 21, P.S, Rabindra Sarani",26.7130585,88.44218149999999,ChIJVT8nYZhB5DkRtXO9qXdQmdQ,https://www.google.com/maps/place/?q=place_id:ChIJVT8nYZhB5DkRtXO9qXdQmdQ,part_328,2026-09-20 20:20:02
