business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Uniforms Unlimited - INDIA,Uniform Manufacturer,Uniform store,Uniform store,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 84509 53009,N/A,4.1,,"Municipal Industrial Estate, 39 & 40, Dainik Shivner Marg, opp. Nehru Science Centre, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400018","Gandhi Nagar, Upper Worli, Worli",18.9931254,72.8226973,ChIJ9WGBPIzO5zsRgwIuYwuok-8,https://www.google.com/maps/place/?q=place_id:ChIJ9WGBPIzO5zsRgwIuYwuok-8,part_328,2026-09-20 20:28:05
Sanmati Uniforms ~ Sanmati India,Uniform Manufacturer,Uniform store,"Uniform store, Designer Clothing Store, Hospital, House cleaning service, International school, Manufacturer, Security guard service, T-shirt store, Wholesaler",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",N/A,N/A,5.0,,"22, Parsi Mohalla Main Rd, Chhavani Chouraha, Parsi Mohalla, Chhawni, Indore, Madhya Pradesh 452001","Chhavani Chouraha, Parsi Mohalla, Chhawni",22.707809599999997,75.8763769,ChIJI2Utrhj9YjkRWgUZrj6VQHY,https://www.google.com/maps/place/?q=place_id:ChIJI2Utrhj9YjkRWgUZrj6VQHY,part_328,2026-09-20 20:28:05
Anand school uniforms,Uniform Manufacturer,Uniform store,"Uniform store, Bag shop, Clothes and fabric wholesaler, Scouting, Shoe store, Footwear wholesaler",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 80032 70020,N/A,4.7,,"mikadoo school ke samne, Savina kheda circle, Kheda Savina Rd, Sector 14, Udaipur, Rajasthan 313001","Sector 14, Hiran Magri",24.5459478,73.6991037,ChIJW7OHfjnvZzkR-iCHgCximSA,https://www.google.com/maps/place/?q=place_id:ChIJW7OHfjnvZzkR-iCHgCximSA,part_328,2026-09-20 20:28:05
Indraprasth Uniforms,Uniform Manufacturer,Uniform store,Uniform store,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 755 403 0756,N/A,3.7,,"23 Bhadbhada Road Jawahar Chowk, New MLA Colony, Bhopal, Madhya Pradesh 462003","New MLA Colony, North TT Nagar, TT Nagar",23.229029999999998,77.3904136,ChIJQ8vpArhCfDkRXLtM7_DYZr8,https://www.google.com/maps/place/?q=place_id:ChIJQ8vpArhCfDkRXLtM7_DYZr8,part_328,2026-09-20 20:28:05
My Earth Enterprises,Uniform Manufacturer,Clothing manufacturer,"Clothing manufacturer, Clothes and fabric manufacturer, Clothes market, Custom t-shirt store, Jeans shop, Fabric store, Fabric wholesaler, Men's clothing store, Gents Tailor, Tailor",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 79993 63904,N/A,4.5,,"Sawaliya Tower, DK-3/21, Danish Kunj, Kolar Rd, Bhopal, Madhya Pradesh 462042","Danish Kunj, Kolar Rd",23.172116799999998,77.4332818,ChIJ0Rl_AIFDfDkR_v1qfiYBFZs,https://www.google.com/maps/place/?q=place_id:ChIJ0Rl_AIFDfDkR_v1qfiYBFZs,part_328,2026-09-20 20:28:05
Santosh Uniform(Vastralaya),Uniform Manufacturer,Uniform store,"Uniform store, Clothing store, Sportswear store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 97132 00010,https://www.facebook.com/share/193Fp9Y7R3/,3.6,,"30, Vijay Market, Berkhera, Vijay Market Square, BHEL, Bhopal, Madhya Pradesh 462022","Vijay Market, BHEL, Sector A, BHEL",23.2280446,77.4663042,ChIJO4XJ-SVofDkRE0S88BfDD1o,https://www.google.com/maps/place/?q=place_id:ChIJO4XJ-SVofDkRE0S88BfDD1o,part_328,2026-09-20 20:28:05
Devshree Uniforms,Uniform Manufacturer,Uniform store,"Uniform store, Clothing store, College, Corporate gift supplier, Supplier, Hospital equipment and supplies, Hotel supply store, School supply store, T-shirt store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 731 421 8573,http://www.devshreeuniforms.com/,3.0,,"No:LG-3-1/2, Morya Arcade, Greater Kailash Road, Near Palasia Square, Old Palasia, Indore, Madhya Pradesh 452001","Near Palasia Square, Old Palasia",22.7257772,75.88848,ChIJmxvD-Tf9YjkRsF7Tf6dBtZo,https://www.google.com/maps/place/?q=place_id:ChIJmxvD-Tf9YjkRsF7Tf6dBtZo,part_328,2026-09-20 20:28:05
S.S School Uniforms,Uniform Manufacturer,Uniform store,Uniform store,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 78987 77670,N/A,4.5,,"Dayanand chowk, Agrawal vishranti bhavan, shop no.41, Dayanand Chawk, Jumerati, gate, Bhopal, Madhya Pradesh 462001","Jumerati, gate",23.2613971,77.40161499999999,ChIJBzxJ6kJpfDkR9sIvoJfYo5Q,https://www.google.com/maps/place/?q=place_id:ChIJBzxJ6kJpfDkR9sIvoJfYo5Q,part_328,2026-09-20 20:28:05
Uniform Point,Uniform Manufacturer,Uniform store,"Uniform store, School supply store",734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",+91 755 274 5245,https://vyomgroup.in/uniformpoint/,3.2,,"UNIFORM POINT, Ayodhya Bypass Rd, Karond Chouraha, Murli Nagar, Karond, Bhopal, Madhya Pradesh 462038","Karond Chouraha, Murli Nagar, Karond",23.302376,77.40488619999999,ChIJNY4qrfVofDkRgP4sY1v4Xy0,https://www.google.com/maps/place/?q=place_id:ChIJNY4qrfVofDkRgP4sY1v4Xy0,part_328,2026-09-20 20:28:05
Lucky uniforms -Uniform Store |Best Uniform Store |Uniform in Panchsheel Nagar Bhopal,Uniform Manufacturer,Uniform store,Uniform store,734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO",N/A,N/A,4.3,,"House No. 16, Infront of National Health Mission, Main Rd No. 3, Patrakar Colony, Panchsheel Nagar, Bhopal, Madhya Pradesh 462003","Patrakar Colony, Panchsheel Nagar",23.2199059,77.4126794,ChIJ_eEX3u9CfDkR6zOmeEfnUaQ,https://www.google.com/maps/place/?q=place_id:ChIJ_eEX3u9CfDkR6zOmeEfnUaQ,part_328,2026-09-20 20:28:05
